reference,window,set,acc,ci_lo,ci_hi,n_above_null,n_subj,wilcoxon_p,cohens_d,bf01,perm_p,excess_ratio,radial_r,ap_coef,midline_rho,joint_acc
mastoid,prestimTRIM_-0.50_to_-0.10s,FRONT-5,0.3717857142857143,0.3514285714285714,0.3920238095238095,35,35,1.234513710351867e-07,2.7485406327265,2.531416468205386e-15,nan,1.3338252796953105,-0.6948754898884176,0.0032628698917059606,0.9761904761904763,0.2752380952380952
mastoid,prestimTRIM_-0.50_to_-0.10s,FRONT-5-local,0.31952380952380954,0.2980952380952381,0.3416666666666667,35,35,1.2316632742608505e-07,1.7875721831709002,3.197099512858047e-10,nan,1.3338252796953105,-0.6948754898884176,0.0032628698917059606,0.9761904761904763,0.2752380952380952
mastoid,prestimTRIM_-0.50_to_-0.10s,OCC-9,0.3385714285714286,0.321547619047619,0.3564285714285715,35,35,1.229955722143931e-07,2.5921428703358167,1.377965233585209e-14,nan,1.3338252796953105,-0.6948754898884176,0.0032628698917059606,0.9761904761904763,0.2752380952380952
mastoid,prestimTRIM_-0.50_to_-0.10s,OCC-9-local,0.2869047619047619,0.2732142857142857,0.30036011904761883,34,35,1.8148219024555192e-07,2.0662716774091563,7.466271984991365e-12,nan,1.3338252796953105,-0.6948754898884176,0.0032628698917059606,0.9761904761904763,0.2752380952380952
mastoid,prestimTRIM_-0.50_to_-0.10s,RIM-4,0.29738095238095236,0.2829761904761905,0.3122619047619048,35,35,1.230524680559298e-07,2.1888864348527335,1.5744508957032795e-12,nan,1.3338252796953105,-0.6948754898884176,0.0032628698917059606,0.9761904761904763,0.2752380952380952
mastoid,stim_0.14_to_0.64s,FRONT-5,0.30654761904761907,0.2916666666666667,0.3217857142857143,35,35,1.2191882786734813e-07,2.2843388406883265,4.872492704892273e-13,nan,1.5021473684210516,-0.6837187401510753,0.012921089060377033,1.0,0.23773809523809525
mastoid,stim_0.14_to_0.64s,FRONT-5-local,0.2639285714285714,0.2498809523809524,0.2785714285714285,34,35,2.06513872162921e-07,1.4355306807095902,5.765683013704268e-08,nan,1.5021473684210516,-0.6837187401510753,0.012921089060377033,1.0,0.23773809523809525
mastoid,stim_0.14_to_0.64s,OCC-9,0.26904761904761904,0.2548809523809524,0.2825,33,35,2.661505954080359e-07,1.6303724405438196,3.0581157543264996e-09,nan,1.5021473684210516,-0.6837187401510753,0.012921089060377033,1.0,0.23773809523809525
mastoid,stim_0.14_to_0.64s,OCC-9-local,0.2305952380952381,0.2204761904761905,0.24059523809523808,32,35,1.464907584548038e-05,0.9869790056628344,7.848980445896042e-05,nan,1.5021473684210516,-0.6837187401510753,0.012921089060377033,1.0,0.23773809523809525
mastoid,stim_0.14_to_0.64s,RIM-4,0.24047619047619048,0.23166666666666663,0.24999999999999994,34,35,1.7935812726859798e-07,1.4336033528750547,5.939960607434374e-08,nan,1.5021473684210516,-0.6837187401510753,0.012921089060377033,1.0,0.23773809523809525
mastoid,late_1.14_to_2.64s,FRONT-5,0.2901190476190476,0.2779761904761905,0.30238095238095236,35,35,1.2259793238554776e-07,2.430613681964769,8.600704970326171e-14,nan,3.516970387243733,-0.49883516480852547,0.03601882275582127,0.9285714285714287,0.2970238095238095
mastoid,late_1.14_to_2.64s,FRONT-5-local,0.24059523809523808,0.2311904761904762,0.2503571428571429,32,35,4.394941755918107e-07,1.375953104094495,1.4565595315111315e-07,nan,3.516970387243733,-0.49883516480852547,0.03601882275582127,0.9285714285714287,0.2970238095238095
mastoid,late_1.14_to_2.64s,OCC-9,0.22904761904761906,0.2204761904761905,0.2380952380952381,31,35,1.183112438528807e-06,1.0693788995286788,2.0265139797388465e-05,nan,3.516970387243733,-0.49883516480852547,0.03601882275582127,0.9285714285714287,0.2970238095238095
mastoid,late_1.14_to_2.64s,OCC-9-local,0.21202380952380953,0.2030952380952381,0.22154761904761902,25,35,0.012932320710945461,0.4239139197099818,0.36775362099779546,nan,3.516970387243733,-0.49883516480852547,0.03601882275582127,0.9285714285714287,0.2970238095238095
mastoid,late_1.14_to_2.64s,RIM-4,0.2073809523809524,0.19988095238095235,0.2148809523809524,23,35,0.06788521803912871,0.3175302374190532,1.1431216618790612,nan,3.516970387243733,-0.49883516480852547,0.03601882275582127,0.9285714285714287,0.2970238095238095
csd,prestim_-0.50_to_0.00s,FRONT-5,0.3526190476190476,0.3314285714285714,0.37559523809523804,35,35,1.234513710351867e-07,2.248058718019394,7.579800905932202e-13,nan,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28
csd,prestim_-0.50_to_0.00s,FRONT-5-local,0.3464285714285714,0.3248809523809524,0.3689285714285715,35,35,1.2339431712015195e-07,2.168665076402819,2.0272659086396553e-12,nan,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28
csd,prestim_-0.50_to_0.00s,OCC-9,0.2530952380952381,0.24023809523809528,0.26571428571428574,33,35,1.1761213672328e-06,1.3488057625860248,2.2310904731529462e-07,nan,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28
csd,prestim_-0.50_to_0.00s,OCC-9-local,0.251547619047619,0.23726190476190478,0.2654761904761905,30,35,3.3100814383867176e-06,1.1814391918273162,3.2507395404165097e-06,nan,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28
csd,prestim_-0.50_to_0.00s,RIM-4,0.3230952380952381,0.3033303571428571,0.34404761904761905,35,35,1.232232909693745e-07,1.9594723039629083,3.036918299607487e-11,nan,4.309120879120883,0.34726706133353225,0.05527493694411011,-0.19047619047619052,0.28
