reference,window,set,acc,ci_lo,ci_hi,n_above_null,n_subj,wilcoxon_p,cohens_d,bf01,perm_p,excess_ratio,radial_r,ap_coef,midline_rho,joint_acc,perm_p_fdr
vertex,stim_0.14_to_0.64s,FRONT-5,0.26857142857142857,0.255952380952381,0.2810714285714286,35,35,2.9103830456733704e-11,1.7855137540232067,3.290894819647763e-10,0.000999000999000999,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285,True
vertex,stim_0.14_to_0.64s,FRONT-5-local,0.2639285714285714,0.2498809523809524,0.2785714285714285,34,35,4.0745362639427185e-10,1.4350128364379944,5.811992286885231e-08,0.000999000999000999,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285,True
vertex,stim_0.14_to_0.64s,OCC-9,0.26321428571428573,0.25357142857142856,0.27333333333333326,35,35,2.9103830456733704e-11,2.112058398521806,4.147417983459908e-12,0.000999000999000999,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285,True
vertex,stim_0.14_to_0.64s,OCC-9-local,0.2305952380952381,0.2204761904761905,0.24059523809523808,32,35,1.6274861991405487e-06,0.9872463849248556,7.81455666014522e-05,0.000999000999000999,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285,True
vertex,stim_0.14_to_0.64s,RIM-4,0.2763095238095238,0.26154761904761903,0.29130952380952385,33,35,2.0372681319713593e-10,1.669418284309003,1.7289053631076011e-09,0.000999000999000999,1.0697292069632487,0.5505632798925351,-0.012308057912752038,-0.09523809523809526,0.23535714285714285,True
vertex,late_1.14_to_2.64s,FRONT-5,0.25023809523809526,0.23726190476190478,0.2628571428571429,31,35,3.66999302059412e-08,1.2870934818718824,5.934830693404363e-07,0.000999000999000999,1.7686249193027759,0.6803350923667466,0.0063169620268894375,0.09523809523809526,0.29,True
vertex,late_1.14_to_2.64s,FRONT-5-local,0.24059523809523808,0.2311904761904762,0.2503571428571429,32,35,4.918547347187996e-09,1.3655079899163314,1.7157403119151249e-07,0.000999000999000999,1.7686249193027759,0.6803350923667466,0.0063169620268894375,0.09523809523809526,0.29,True
vertex,late_1.14_to_2.64s,OCC-9,0.21714285714285714,0.20642857142857143,0.2288095238095238,23,35,0.005330666142981499,0.5014384962234965,0.13971845317235967,0.001998001998001998,1.7686249193027759,0.6803350923667466,0.0063169620268894375,0.09523809523809526,0.29,True
vertex,late_1.14_to_2.64s,OCC-9-local,0.21202380952380953,0.2030952380952381,0.22154761904761902,26,35,0.007912247616332024,0.4186824284585991,0.3910261153374305,0.00999000999000999,1.7686249193027759,0.6803350923667466,0.0063169620268894375,0.09523809523809526,0.29,True
vertex,late_1.14_to_2.64s,RIM-4,0.24845238095238095,0.2380952380952381,0.2592857142857143,32,35,7.275957614183426e-10,1.4842296142969038,2.7294154718835813e-08,0.000999000999000999,1.7686249193027759,0.6803350923667466,0.0063169620268894375,0.09523809523809526,0.29,True
