reference,window,set,acc,ci_lo,ci_hi,n_above_null,n_subj,wilcoxon_p,cohens_d,bf01,perm_p,excess_ratio,radial_r,ap_coef,midline_rho,joint_acc
average,late_1.14_to_2.64s,RIM-4,0.26,0.24666666666666667,0.2741666666666666,5,5,0.03125,3.3661769917388753,0.03862520560426262,nan,1.0904347826086955,0.4661661681526943,-0.0016763557207290364,0.04761904761904763,0.24666666666666667
mastoid,prestim_-0.50_to_0.00s,FRONT-5,0.31,0.275,0.33666666666666667,5,5,0.03125,2.76292145009147,0.06610497521545257,nan,1.070181818181818,-0.7578044044538397,-0.012616648275227182,0.880952380952381,0.24583333333333332
mastoid,prestim_-0.50_to_0.00s,FRONT-5-local,0.24416666666666667,0.21833333333333335,0.26666666666666666,4,5,0.0625,1.4451559902981252,0.3272411491271485,nan,1.070181818181818,-0.7578044044538397,-0.012616648275227182,0.880952380952381,0.24583333333333332
mastoid,prestim_-0.50_to_0.00s,OCC-9,0.3175,0.29333333333333333,0.345,5,5,0.03125,3.561355582885246,0.03304105739118027,nan,1.070181818181818,-0.7578044044538397,-0.012616648275227182,0.880952380952381,0.24583333333333332
mastoid,prestim_-0.50_to_0.00s,OCC-9-local,0.2658333333333333,0.22999999999999998,0.305,5,5,0.03125,1.403682157387797,0.3486738654619821,nan,1.070181818181818,-0.7578044044538397,-0.012616648275227182,0.880952380952381,0.24583333333333332
mastoid,prestim_-0.50_to_0.00s,RIM-4,0.265,0.2533333333333333,0.28,5,5,0.03125,3.86394375579125,0.02630986532333653,nan,1.070181818181818,-0.7578044044538397,-0.012616648275227182,0.880952380952381,0.24583333333333332
mastoid,prestimTRIM_-0.50_to_-0.10s,FRONT-5,0.31666666666666665,0.2841666666666667,0.3466666666666667,5,5,0.03125,2.9113013714235554,0.057428259725016424,nan,1.0447897623400368,-0.8007352697265234,-0.0173355593974219,0.4285714285714286,0.25
mastoid,prestimTRIM_-0.50_to_-0.10s,FRONT-5-local,0.25833333333333336,0.2333333333333333,0.2866666666666667,5,5,0.03125,1.6793284028830422,0.23269930691858778,nan,1.0447897623400368,-0.8007352697265234,-0.0173355593974219,0.4285714285714286,0.25
mastoid,prestimTRIM_-0.50_to_-0.10s,OCC-9,0.31916666666666665,0.29416666666666663,0.3441666666666667,5,5,0.03125,3.652883283075059,0.030786997295656798,nan,1.0447897623400368,-0.8007352697265234,-0.0173355593974219,0.4285714285714286,0.25
mastoid,prestimTRIM_-0.50_to_-0.10s,OCC-9-local,0.26,0.22583333333333333,0.3083333333333333,5,5,0.03125,1.1303247369859846,0.5419072155587091,nan,1.0447897623400368,-0.8007352697265234,-0.0173355593974219,0.4285714285714286,0.25
mastoid,prestimTRIM_-0.50_to_-0.10s,RIM-4,0.2675,0.25916666666666666,0.27666666666666667,5,5,0.03125,6.037383538709438,0.007336677927477216,nan,1.0447897623400368,-0.8007352697265234,-0.0173355593974219,0.4285714285714286,0.25
mastoid,stim_0.14_to_0.64s,FRONT-5,0.28,0.25916666666666666,0.3008333333333334,5,5,0.03125,2.955595544564786,0.05512977973267174,nan,1.3337142857142859,-0.32453401357904477,0.010281396408654837,-0.07185757571479554,0.24833333333333332
mastoid,stim_0.14_to_0.64s,FRONT-5-local,0.23666666666666666,0.22666666666666666,0.24500000000000002,5,5,0.03125,3.171299868414079,0.04550664075159961,nan,1.3337142857142859,-0.32453401357904477,0.010281396408654837,-0.07185757571479554,0.24833333333333332
