reference,window,channel,x,y,dist_cz,row_acc,col_acc,pattern,row_p,col_p,row_null_mean,row_p_fdr,col_p_fdr
average,prestim_-0.50_to_0.00s,P7,-0.5038313462318709,-0.3660548999796477,0.6227697931378249,0.2825,0.18392857142857144,0.46700601095051,0.000999000999000999,0.000999000999000999,0.19989214285714285,True,True
average,prestim_-0.50_to_0.00s,P5,-0.3831644926704491,-0.33307981188050406,0.5076979313782504,0.2567857142857143,0.18797619047619046,0.3315362959499251,0.000999000999000999,0.000999000999000999,0.19980071428571428,True,True
average,prestim_-0.50_to_0.00s,P3,-0.2555991277378157,-0.31563863605626796,0.4061510343108748,0.25226190476190474,0.18916666666666668,0.31772736746973673,0.000999000999000999,0.000999000999000999,0.19992333333333334,True,True
average,prestim_-0.50_to_0.00s,P1,-0.12679132837194132,-0.3138195499805803,0.33846528758550026,0.23726190476190476,0.14904761904761904,0.10498707625230261,0.000999000999000999,0.000999000999000999,0.1998477380952381,True,True
average,prestim_-0.50_to_0.00s,PZ,3.8134397783401996e-17,-0.31139098889535044,0.31139098889535044,0.25285714285714284,0.13130952380952382,0.12838947794221423,0.000999000999000999,0.03996003996003996,0.19989178571428573,True,True
average,prestim_-0.50_to_0.00s,P2,0.12679132837194132,-0.3138195499805803,0.33846528758550026,0.24607142857142858,0.15904761904761905,0.11302836938277346,0.000999000999000999,0.000999000999000999,0.19978119047619047,True,True
average,prestim_-0.50_to_0.00s,P4,0.2555991277378157,-0.31563863605626796,0.4061510343108748,0.25952380952380955,0.1930952380952381,0.34316885894185367,0.000999000999000999,0.000999000999000999,0.19964440476190476,True,True
average,prestim_-0.50_to_0.00s,P6,0.3831644926704491,-0.33307981188050406,0.5076979313782504,0.26285714285714284,0.2073809523809524,0.44877133728344665,0.000999000999000999,0.000999000999000999,0.1997420238095238,True,True
average,prestim_-0.50_to_0.00s,P8,0.5038313462318709,-0.3660548999796477,0.6227697931378249,0.2727380952380952,0.20476190476190476,0.5162916293590324,0.000999000999000999,0.000999000999000999,0.19981369047619046,True,True
average,prestim_-0.50_to_0.00s,PO7,-0.3660548999796478,-0.5038313462318709,0.622769793137825,0.2813095238095238,0.16178571428571428,0.644184693813165,0.000999000999000999,0.000999000999000999,0.1998892857142857,True,True
average,prestim_-0.50_to_0.00s,PO5,-0.3202971422372838,-0.4408511957539812,0.5449220459139874,0.27666666666666667,0.16083333333333333,0.6181507605468379,0.000999000999000999,0.000999000999000999,0.2000604761904762,True,True
average,prestim_-0.50_to_0.00s,PO3,-0.19572631237744492,-0.46110229606836256,0.500923264379275,0.2630952380952381,0.15154761904761904,0.5067255868918572,0.000999000999000999,0.000999000999000999,0.19989071428571428,True,True
average,prestim_-0.50_to_0.00s,POz,5.720010448548868e-17,-0.4670742986901498,0.4670742986901498,0.27071428571428574,0.14535714285714285,0.4381224558931333,0.000999000999000999,0.000999000999000999,0.19994404761904763,True,True
average,prestim_-0.50_to_0.00s,PO4,0.19572631237744492,-0.46110229606836256,0.500923264379275,0.27095238095238094,0.16607142857142856,0.5279199047211363,0.000999000999000999,0.000999000999000999,0.1997942857142857,True,True
average,prestim_-0.50_to_0.00s,PO6,0.3202971422372838,-0.4408511957539812,0.5449220459139874,0.2730952380952381,0.16976190476190475,0.45808639270291407,0.000999000999000999,0.000999000999000999,0.19975297619047622,True,True
average,prestim_-0.50_to_0.00s,PO8,0.3660548999796478,-0.5038313462318709,0.622769793137825,0.27666666666666667,0.17035714285714285,0.4242759808740474,0.000999000999000999,0.000999000999000999,0.19969392857142856,True,True
average,prestim_-0.50_to_0.00s,CB1,-0.6222539674441618,-0.6222539674441617,0.88,0.30464285714285716,0.13226190476190477,0.5708769860095733,0.000999000999000999,0.02097902097902098,0.19978357142857142,True,True
average,prestim_-0.50_to_0.00s,O1,-0.19244644966295849,-0.5922892699155132,0.622769793137825,0.2920238095238095,0.14238095238095239,0.5666998724473322,0.000999000999000999,0.000999000999000999,0.20000154761904762,True,True
average,prestim_-0.50_to_0.00s,Oz,7.626730337718967e-17,-0.622769793137825,0.622769793137825,0.2904761904761905,0.1336904761904762,0.5863330687110662,0.000999000999000999,0.00999000999000999,0.19984297619047617,True,True
average,prestim_-0.50_to_0.00s,O2,0.19244644966295849,-0.5922892699155132,0.622769793137825,0.28833333333333333,0.15,0.6134569915281934,0.000999000999000999,0.000999000999000999,0.19996166666666668,True,True
average,prestim_-0.50_to_0.00s,CB2,0.6222539674441618,-0.6222539674441617,0.88,0.30726190476190474,0.1463095238095238,0.6634543731105944,0.000999000999000999,0.000999000999000999,0.19987916666666666,True,True
average,prestimTRIM_-0.50_to_-0.10s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.31273809523809526,0.1763095238095238,0.6288117239227444,0.000999000999000999,0.000999000999000999,0.19984214285714286,True,True
average,prestimTRIM_-0.50_to_-0.10s,FPZ,0.0,0.622769793137825,0.622769793137825,0.3292857142857143,0.12714285714285714,0.8357191497749658,0.000999000999000999,0.27172827172827174,0.19989249999999997,True,False
average,prestimTRIM_-0.50_to_-0.10s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.32011904761904764,0.16154761904761905,0.621021231105559,0.000999000999000999,0.000999000999000999,0.19993357142857143,True,True
average,prestimTRIM_-0.50_to_-0.10s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.29404761904761906,0.2001190476190476,1.0,0.000999000999000999,0.000999000999000999,0.1997482142857143,True,True
average,prestimTRIM_-0.50_to_-0.10s,AF4,0.19572631237744492,0.46110229606836256,0.500923264379275,0.30666666666666664,0.18464285714285714,0.9967600573763435,0.000999000999000999,0.000999000999000999,0.1999977380952381,True,True
average,prestimTRIM_-0.50_to_-0.10s,F7,-0.5038313462318709,0.36605489997964774,0.6227697931378249,0.22357142857142856,0.3486904761904762,0.3490585598266457,0.000999000999000999,0.000999000999000999,0.19988559523809524,True,True
average,prestimTRIM_-0.50_to_-0.10s,F5,-0.38316449267044905,0.3330798118805041,0.5076979313782504,0.22547619047619047,0.3213095238095238,0.4310366427039765,0.000999000999000999,0.000999000999000999,0.19983642857142858,True,True
average,prestimTRIM_-0.50_to_-0.10s,F3,-0.2555991277378157,0.31563863605626796,0.4061510343108748,0.2546428571428571,0.25226190476190474,0.6036574497395218,0.000999000999000999,0.000999000999000999,0.1997229761904762,True,True
average,prestimTRIM_-0.50_to_-0.10s,F1,-0.12679132837194124,0.31381954998058037,0.3384652875855003,0.28964285714285715,0.1855952380952381,0.7893625474322512,0.000999000999000999,0.000999000999000999,0.19987428571428573,True,True
average,prestimTRIM_-0.50_to_-0.10s,FZ,0.0,0.31139098889535044,0.31139098889535044,0.3007142857142857,0.12761904761904763,0.6464051310170766,0.000999000999000999,0.24475524475524477,0.1999047619047619,True,False
average,prestimTRIM_-0.50_to_-0.10s,F2,0.12679132837194124,0.31381954998058037,0.3384652875855003,0.30357142857142855,0.16714285714285715,0.9207075530386724,0.000999000999000999,0.000999000999000999,0.1999234523809524,True,True
average,prestimTRIM_-0.50_to_-0.10s,F4,0.2555991277378157,0.31563863605626796,0.4061510343108748,0.2675,0.23404761904761906,0.6672749462400804,0.000999000999000999,0.000999000999000999,0.20018690476190476,True,True
average,prestimTRIM_-0.50_to_-0.10s,F6,0.38316449267044905,0.3330798118805041,0.5076979313782504,0.23726190476190476,0.2972619047619048,0.3776877708004263,0.000999000999000999,0.000999000999000999,0.1998172619047619,True,True
average,prestimTRIM_-0.50_to_-0.10s,F8,0.5038313462318709,0.36605489997964774,0.6227697931378249,0.2255952380952381,0.33964285714285714,0.293490920924403,0.000999000999000999,0.000999000999000999,0.19995142857142859,True,True
average,prestimTRIM_-0.50_to_-0.10s,FT7,-0.5922892699155132,0.19244644966295846,0.622769793137825,0.2338095238095238,0.3264285714285714,0.18247964914787312,0.000999000999000999,0.000999000999000999,0.19993761904761906,True,True
