window,channel,x,y,row_acc,col_acc,activation_pattern
window_0.14_to_0.64s,FC6,0.4486894406361628,0.17223573916038115,0.22083333333333333,0.235,0.32785853993690184
window_0.14_to_0.64s,FT8,0.5922892699155132,0.19244644966295846,0.2175,0.2425,0.3533056777057176
window_0.14_to_0.64s,T7,-0.622769793137825,3.8133651688594835e-17,0.22583333333333333,0.1725,0.47931080917570584
window_0.14_to_0.64s,C5,-0.4670742986901498,2.860005224274434e-17,0.23,0.16333333333333333,0.5437440155238487
window_0.14_to_0.64s,C3,-0.31139098889535044,1.9067198891700998e-17,0.21,0.1675,0.43057122695960603
window_0.14_to_0.64s,C1,-0.15569549444767522,9.533599445850499e-18,0.19833333333333333,0.15583333333333332,0.38963298635174803
window_0.14_to_0.64s,Cz,0.0,0.0,0.20833333333333334,0.12166666666666667,0.13523588959995547
window_0.14_to_0.64s,C2,0.15569549444767522,9.533599445850499e-18,0.22166666666666668,0.17333333333333334,0.23112288427946898
window_0.14_to_0.64s,C4,0.31139098889535044,1.9067198891700998e-17,0.21666666666666667,0.20666666666666667,0.24607726175325995
window_0.14_to_0.64s,C6,0.4670742986901498,2.860005224274434e-17,0.22083333333333333,0.22333333333333333,0.26886888265685827
window_0.14_to_0.64s,T8,0.622769793137825,3.8133651688594835e-17,0.22833333333333333,0.22,0.4473651958026267
window_0.14_to_0.64s,M1,0.8664628506549251,5.305554783173226e-17,0.26916666666666667,0.14333333333333334,0.43523394452303277
window_0.14_to_0.64s,TP7,-0.5922892699155132,-0.19244644966295837,0.23583333333333334,0.155,0.6465738399092981
window_0.14_to_0.64s,CP5,-0.4486894406361628,-0.17223573916038112,0.24333333333333335,0.135,0.7683493551189521
window_0.14_to_0.64s,CP3,-0.2988471109399219,-0.15889982751154083,0.21916666666666668,0.135,0.40204947373130634
window_0.14_to_0.64s,CP1,-0.15317259329874983,-0.1531725932987498,0.2225,0.13916666666666666,0.36802408564793654
window_0.14_to_0.64s,CPZ,1.9067198891700998e-17,-0.15569549444767522,0.21583333333333332,0.1275,0.34059233394928945
window_0.14_to_0.64s,CP2,0.15317259329874983,-0.1531725932987498,0.2225,0.15416666666666667,0.3620794089713069
window_0.14_to_0.64s,CP4,0.2988471109399219,-0.15889982751154083,0.21083333333333334,0.17666666666666667,0.2834676197372114
window_0.14_to_0.64s,CP6,0.4486894406361628,-0.17223573916038112,0.23333333333333334,0.19083333333333333,0.3258670593558703
window_0.14_to_0.64s,TP8,0.5922892699155132,-0.19244644966295837,0.235,0.17416666666666666,0.3077364187721521
window_0.14_to_0.64s,M2,-0.8664628506549251,5.305554783173226e-17,0.23916666666666667,0.13666666666666666,0.3427797753151237
window_0.14_to_0.64s,P7,-0.5038313462318709,-0.3660548999796477,0.24083333333333334,0.135,0.7849571325269254
window_0.14_to_0.64s,P5,-0.3831644926704491,-0.33307981188050406,0.23,0.1325,0.8033917068340022
window_0.14_to_0.64s,P3,-0.2555991277378157,-0.31563863605626796,0.2325,0.1525,0.7501847553285075
window_0.14_to_0.64s,P1,-0.12679132837194132,-0.3138195499805803,0.24416666666666667,0.14583333333333334,0.6916675574051883
window_0.14_to_0.64s,PZ,3.8134397783401996e-17,-0.31139098889535044,0.24083333333333334,0.12083333333333333,1.0
window_0.14_to_0.64s,P2,0.12679132837194132,-0.3138195499805803,0.235,0.14666666666666667,0.4527619004228441
window_0.14_to_0.64s,P4,0.2555991277378157,-0.31563863605626796,0.23916666666666667,0.16833333333333333,0.4547150918248171
window_0.14_to_0.64s,P6,0.3831644926704491,-0.33307981188050406,0.24916666666666668,0.15583333333333332,0.5255368044682637
window_0.14_to_0.64s,P8,0.5038313462318709,-0.3660548999796477,0.225,0.15,0.38800447312605657
window_0.14_to_0.64s,PO7,-0.3660548999796478,-0.5038313462318709,0.2475,0.14,0.6948892141343053
window_0.14_to_0.64s,PO5,-0.3202971422372838,-0.4408511957539812,0.25,0.13333333333333333,0.6940822585998047
window_0.14_to_0.64s,PO3,-0.19572631237744492,-0.46110229606836256,0.2425,0.125,0.7096324875712542
window_0.14_to_0.64s,POz,5.720010448548868e-17,-0.4670742986901498,0.23583333333333334,0.10833333333333334,0.7640751775505842
window_0.14_to_0.64s,PO4,0.19572631237744492,-0.46110229606836256,0.23666666666666666,0.14166666666666666,0.5564394747165115
window_0.14_to_0.64s,PO6,0.3202971422372838,-0.4408511957539812,0.24083333333333334,0.15,0.5912311289602632
window_0.14_to_0.64s,PO8,0.3660548999796478,-0.5038313462318709,0.245,0.14916666666666667,0.5529263906452119
window_0.14_to_0.64s,CB1,-0.6222539674441618,-0.6222539674441617,0.24416666666666667,0.11,0.6298492296845033
window_0.14_to_0.64s,O1,-0.19244644966295849,-0.5922892699155132,0.245,0.11333333333333333,0.47275753130082543
window_0.14_to_0.64s,Oz,7.626730337718967e-17,-0.622769793137825,0.24166666666666667,0.12083333333333333,0.5086663302132288
window_0.14_to_0.64s,O2,0.19244644966295849,-0.5922892699155132,0.24666666666666667,0.13666666666666666,0.6826838711006383
window_0.14_to_0.64s,CB2,0.6222539674441618,-0.6222539674441617,0.24,0.14333333333333334,0.48623787903215343
