reference,window,channel,x,y,dist_cz,row_acc,col_acc,pattern,row_p,col_p,row_null_mean
vertex,prestim_-0.50_to_0.00s,Cz,0.0,0.0,0.0,0.2375,0.12583333333333332,0.37022611170559006,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,C2,0.15569549444767522,9.533599445850499e-18,0.15569549444767522,0.22916666666666666,0.23666666666666666,0.38177549377958775,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,C4,0.31139098889535044,1.9067198891700998e-17,0.31139098889535044,0.19916666666666666,0.2975,0.2415460015311458,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,C6,0.4670742986901498,2.860005224274434e-17,0.4670742986901498,0.19833333333333333,0.2975,0.32507517307339223,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,T8,0.622769793137825,3.8133651688594835e-17,0.622769793137825,0.22,0.2975,0.46082128283577417,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,M1,0.8664628506549251,5.305554783173226e-17,0.8664628506549251,0.29,0.18416666666666667,0.912540528292438,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,TP7,-0.5922892699155132,-0.19244644966295837,0.6227697931378249,0.2608333333333333,0.22,0.8494551755133428,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,CP5,-0.4486894406361628,-0.17223573916038112,0.4806114480352247,0.23,0.23916666666666667,0.6849335552502744,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,CP3,-0.2988471109399219,-0.15889982751154083,0.33846528758550026,0.22666666666666666,0.23083333333333333,0.27581992325289834,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,CP1,-0.15317259329874983,-0.1531725932987498,0.21661875882695023,0.23,0.23083333333333333,0.2158659267258948,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,CPZ,1.9067198891700998e-17,-0.15569549444767522,0.15569549444767522,0.20833333333333334,0.15083333333333335,0.19660929973020264,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,CP2,0.15317259329874983,-0.1531725932987498,0.21661875882695023,0.205,0.21,0.3153690755979962,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,CP4,0.2988471109399219,-0.15889982751154083,0.33846528758550026,0.21666666666666667,0.22583333333333333,0.31927528707486913,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,CP6,0.4486894406361628,-0.17223573916038112,0.4806114480352247,0.23,0.25,0.5396352930175798,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,TP8,0.5922892699155132,-0.19244644966295837,0.6227697931378249,0.24083333333333334,0.23083333333333333,0.5787723609266846,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,M2,-0.8664628506549251,5.305554783173226e-17,0.8664628506549251,0.2875,0.1825,0.5425057860932769,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,P7,-0.5038313462318709,-0.3660548999796477,0.6227697931378249,0.275,0.2175,0.9429599346432538,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,P5,-0.3831644926704491,-0.33307981188050406,0.5076979313782504,0.25416666666666665,0.2,0.7797334029209917,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,P3,-0.2555991277378157,-0.31563863605626796,0.4061510343108748,0.25416666666666665,0.18416666666666667,0.7235324447268715,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,P1,-0.12679132837194132,-0.3138195499805803,0.33846528758550026,0.24333333333333335,0.17583333333333334,0.6246687160793956,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,PZ,3.8134397783401996e-17,-0.31139098889535044,0.31139098889535044,0.2625,0.145,0.6605143055771332,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,P2,0.12679132837194132,-0.3138195499805803,0.33846528758550026,0.23916666666666667,0.18,0.48716312842466203,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,P4,0.2555991277378157,-0.31563863605626796,0.4061510343108748,0.24166666666666667,0.1825,0.569165582533972,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,P6,0.3831644926704491,-0.33307981188050406,0.5076979313782504,0.24916666666666668,0.1825,0.726775909188088,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,P8,0.5038313462318709,-0.3660548999796477,0.6227697931378249,0.265,0.18166666666666667,0.4212768867999759,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,PO7,-0.3660548999796478,-0.5038313462318709,0.622769793137825,0.26,0.17,0.8258234320873354,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,PO5,-0.3202971422372838,-0.4408511957539812,0.5449220459139874,0.26,0.16916666666666666,0.7939607497758879,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,PO3,-0.19572631237744492,-0.46110229606836256,0.500923264379275,0.25666666666666665,0.17833333333333334,0.7416372379400333,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,POz,5.720010448548868e-17,-0.4670742986901498,0.4670742986901498,0.265,0.1525,0.5421589822156927,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,PO4,0.19572631237744492,-0.46110229606836256,0.500923264379275,0.2625,0.15083333333333335,0.5775137289507031,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,PO6,0.3202971422372838,-0.4408511957539812,0.5449220459139874,0.2658333333333333,0.16333333333333333,0.6291046078268725,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,PO8,0.3660548999796478,-0.5038313462318709,0.622769793137825,0.2675,0.1675,0.5598616120282659,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,CB1,-0.6222539674441618,-0.6222539674441617,0.88,0.2966666666666667,0.14583333333333334,0.8493153745130908,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,O1,-0.19244644966295849,-0.5922892699155132,0.622769793137825,0.2658333333333333,0.15333333333333332,0.6028861000689768,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,Oz,7.626730337718967e-17,-0.622769793137825,0.622769793137825,0.2675,0.15583333333333332,0.7152441154942225,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,O2,0.19244644966295849,-0.5922892699155132,0.622769793137825,0.2725,0.15083333333333335,0.7155576562354351,nan,nan,nan
vertex,prestim_-0.50_to_0.00s,CB2,0.6222539674441618,-0.6222539674441617,0.88,0.30083333333333334,0.15083333333333335,0.7177165089200254,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.26416666666666666,0.13833333333333334,0.9646510959178969,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FPZ,0.0,0.622769793137825,0.622769793137825,0.2708333333333333,0.1275,1.0,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.2608333333333333,0.14583333333333334,0.8849647648810985,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.26,0.1475,0.9373328215807653,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,AF4,0.19572631237744492,0.46110229606836256,0.500923264379275,0.2608333333333333,0.15666666666666668,0.7555338551012128,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,F7,-0.5038313462318709,0.36605489997964774,0.6227697931378249,0.20416666666666666,0.29083333333333333,0.34979966311448735,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,F5,-0.38316449267044905,0.3330798118805041,0.5076979313782504,0.21916666666666668,0.2733333333333333,0.4220993304458348,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,F3,-0.2555991277378157,0.31563863605626796,0.4061510343108748,0.2325,0.22666666666666666,0.7006693121966177,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,F1,-0.12679132837194124,0.31381954998058037,0.3384652875855003,0.25416666666666665,0.1525,0.7519631089215985,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FZ,0.0,0.31139098889535044,0.31139098889535044,0.24916666666666668,0.13,0.9623653738778153,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,F2,0.12679132837194124,0.31381954998058037,0.3384652875855003,0.24583333333333332,0.15416666666666667,0.8275669199080288,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,F4,0.2555991277378157,0.31563863605626796,0.4061510343108748,0.23833333333333334,0.22833333333333333,0.6740676493547338,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,F6,0.38316449267044905,0.3330798118805041,0.5076979313782504,0.21166666666666667,0.2775,0.46169554121468226,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,F8,0.5038313462318709,0.36605489997964774,0.6227697931378249,0.20083333333333334,0.3516666666666667,0.17667141047112006,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FT7,-0.5922892699155132,0.19244644966295846,0.622769793137825,0.225,0.27666666666666667,0.36267540017102046,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FC5,-0.4486894406361628,0.17223573916038115,0.4806114480352247,0.19416666666666665,0.2758333333333333,0.3526006096230254,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FC3,-0.2988471109399219,0.15889982751154078,0.33846528758550026,0.23916666666666667,0.21416666666666667,0.5773551229677274,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FC1,-0.15317259329874983,0.15317259329874983,0.21661875882695025,0.2525,0.1825,0.6732584307686793,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FCz,0.0,0.15569549444767522,0.15569549444767522,0.25333333333333335,0.1175,0.7678150527864765,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FC2,0.15317259329874983,0.15317259329874983,0.21661875882695025,0.22583333333333333,0.19416666666666665,0.6340039153561239,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FC4,0.2988471109399219,0.15889982751154078,0.33846528758550026,0.21833333333333332,0.24666666666666667,0.6622538230215003,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FC6,0.4486894406361628,0.17223573916038115,0.4806114480352247,0.195,0.3225,0.18186755620665368,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,FT8,0.5922892699155132,0.19244644966295846,0.622769793137825,0.22083333333333333,0.3333333333333333,0.3172435910096521,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,T7,-0.622769793137825,3.8133651688594835e-17,0.622769793137825,0.2325,0.2708333333333333,0.5859421315452128,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,C5,-0.4670742986901498,2.860005224274434e-17,0.4670742986901498,0.2025,0.2783333333333333,0.25056130940905075,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,C3,-0.31139098889535044,1.9067198891700998e-17,0.31139098889535044,0.2075,0.25416666666666665,0.12449320816433582,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,C1,-0.15569549444767522,9.533599445850499e-18,0.15569549444767522,0.22666666666666666,0.19333333333333333,0.2780790139543043,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,Cz,0.0,0.0,0.0,0.24083333333333334,0.11833333333333333,0.36259226526330457,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,C2,0.15569549444767522,9.533599445850499e-18,0.15569549444767522,0.22416666666666665,0.24,0.43631449073123196,nan,nan,nan
