reference,window,channel,x,y,dist_from_cz,row_acc,col_acc,activation_pattern
vertex,window_0.14_to_0.64s,P5,-0.3831644926704491,-0.33307981188050406,0.5076979313782504,0.2444047619047619,0.15714285714285714,0.5596602697517432
vertex,window_0.14_to_0.64s,P3,-0.2555991277378157,-0.31563863605626796,0.4061510343108748,0.2479761904761905,0.15630952380952381,0.7537169333876952
vertex,window_0.14_to_0.64s,P1,-0.12679132837194132,-0.3138195499805803,0.33846528758550026,0.2480952380952381,0.14511904761904762,0.7617069373380533
vertex,window_0.14_to_0.64s,PZ,3.8134397783401996e-17,-0.31139098889535044,0.31139098889535044,0.25523809523809526,0.13988095238095238,0.8032492052919057
vertex,window_0.14_to_0.64s,P2,0.12679132837194132,-0.3138195499805803,0.33846528758550026,0.2480952380952381,0.16392857142857142,0.652379714675864
vertex,window_0.14_to_0.64s,P4,0.2555991277378157,-0.31563863605626796,0.4061510343108748,0.24059523809523808,0.16607142857142856,0.5849912549093322
vertex,window_0.14_to_0.64s,P6,0.3831644926704491,-0.33307981188050406,0.5076979313782504,0.2423809523809524,0.17035714285714285,0.5047011776990743
vertex,window_0.14_to_0.64s,P8,0.5038313462318709,-0.3660548999796477,0.6227697931378249,0.25083333333333335,0.16392857142857142,0.5143613458880172
vertex,window_0.14_to_0.64s,PO7,-0.3660548999796478,-0.5038313462318709,0.622769793137825,0.2530952380952381,0.14654761904761904,0.6727736016598107
vertex,window_0.14_to_0.64s,PO5,-0.3202971422372838,-0.4408511957539812,0.5449220459139874,0.2505952380952381,0.1467857142857143,0.8042207781374253
vertex,window_0.14_to_0.64s,PO3,-0.19572631237744492,-0.46110229606836256,0.500923264379275,0.24928571428571428,0.14511904761904762,0.7676256433905088
vertex,window_0.14_to_0.64s,POz,5.720010448548868e-17,-0.4670742986901498,0.4670742986901498,0.25797619047619047,0.14333333333333334,0.8182882884192471
vertex,window_0.14_to_0.64s,PO4,0.19572631237744492,-0.46110229606836256,0.500923264379275,0.25392857142857145,0.14857142857142858,0.811860731498782
vertex,window_0.14_to_0.64s,PO6,0.3202971422372838,-0.4408511957539812,0.5449220459139874,0.25357142857142856,0.16297619047619047,0.615721766649305
vertex,window_0.14_to_0.64s,PO8,0.3660548999796478,-0.5038313462318709,0.622769793137825,0.251547619047619,0.15357142857142858,0.5338184521625584
vertex,window_0.14_to_0.64s,CB1,-0.6222539674441618,-0.6222539674441617,0.88,0.25797619047619047,0.14464285714285716,0.6491844156500491
vertex,window_0.14_to_0.64s,O1,-0.19244644966295849,-0.5922892699155132,0.622769793137825,0.25642857142857145,0.1411904761904762,0.7869863886325112
vertex,window_0.14_to_0.64s,Oz,7.626730337718967e-17,-0.622769793137825,0.622769793137825,0.25821428571428573,0.13726190476190475,0.8540964987624164
vertex,window_0.14_to_0.64s,O2,0.19244644966295849,-0.5922892699155132,0.622769793137825,0.2571428571428571,0.14714285714285713,0.7861623688477319
vertex,window_0.14_to_0.64s,CB2,0.6222539674441618,-0.6222539674441617,0.88,0.254047619047619,0.14273809523809525,0.5829441080991974
average,pre-stim_-0.50_to_0.00s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.31107142857142855,0.1813095238095238,0.5951382161777992
average,pre-stim_-0.50_to_0.00s,FPZ,0.0,0.622769793137825,0.622769793137825,0.33940476190476193,0.13035714285714287,0.8135689058362071
